Actual Occupant (Leasee),Name on Contract,Stall / Space No.,Effectivity Date,No. of Years,Area (sqm),Monthly Rental / Contract,Actual Mo. Rental,Whole Year Rental,Delinquent (₱)
Juan Dela Cruz,Juan Dela Cruz,1,2026-01-05,3,4.8,900,900,10800,0
Maria Clara Santos,Maria Clara Santos,2,2026-01-05,3,4.8,900,900,10800,0
Pedro Reyes,Pedro Reyes,3,2026-02-01,3,4.8,900,900,10800,0
Josefa Mercado,Andres Mercado,4,2026-02-01,3,6.0,900,900,10800,0
Lorenzo Bautista,Lorenzo Bautista,5,2026-03-15,3,4.8,900,900,10800,0
Teresita Aguilar,Teresita Aguilar,6,2026-03-15,3,4.8,900,900,10800,0
Ramon Villanueva,Ramon Villanueva,7,2026-04-01,1,4.8,900,900,10800,0
Corazon Lim,Corazon Lim,8,2026-04-01,1,4.8,900,900,10800,0
Benigno Cruz,No contract (space only),9,2026-05-01,3,4.8,900,900,10800,0
Imelda Ramos,Imelda Ramos,10,2026-05-01,3,4.8,900,900,10800,0
